filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./gevent/_abstract_linkable.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,333,12,73,[333],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_config.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,167,8,43,[167],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_config.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,224,8,43,[224],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_ffi/loop.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",526,24,32,"[526, 527]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./gevent/_ffi/watcher.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,430,12,75,[430],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_fileobjectposix.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,250,8,64,[250],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_hub_local.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,0,42,[24],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_interfaces.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,31,12,54,[31],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_monitor.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,98,8,53,[98],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_monitor.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,187,16,32,[187],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_patcher.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,151,8,53,[151],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_semaphore.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,266,12,38,[266],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_semaphore.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,272,8,76,[272],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_semaphore.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,316,8,23,[316],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_semaphore.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,371,28,61,[371],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_semaphore.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,403,8,52,[403],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_socket3.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,238,8,33,[238],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_socket3.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,260,12,26,[260],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_socketcommon.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/605.html,Possible binding to all interfaces.,283,28,37,[283],https://bandit.readthedocs.io/en/1.7.6/plugins/b104_hardcoded_bind_all_interfaces.html
./gevent/_tblib.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,154,16,64,[154],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./gevent/_tblib.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,315,4,32,[315],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_tblib.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,316,4,23,[316],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gevent/_tblib.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with dumps module.,363,4,28,[363],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./gevent/_tblib.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with loads module.,371,4,28,[371],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./gevent/_tblib.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",372,14,22,[372],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./gevent/_util.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,283,4,21,[283],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./gevent/_util.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,289,4,6,"[289, 290, 291, 292, 293, 294]",https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./gevent/_util.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,289,4,6,"[289, 290, 291, 292, 293, 294]",https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./gevent/_util.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,299,4,6,"[299, 300, 301, 302, 303, 304]",https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./gevent/_util.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,299,4,6,"[299, 300, 301, 302, 303, 304]",https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./gevent/baseserver.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",352,12,20,"[352, 353]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
