filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./csc_utils/__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,27,4,22,[27],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./csc_utils/io.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,9,35,57,[9],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./csc_utils/ordered_set.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,12,51,[24],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./csc_utils/ordered_set.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,125,8,38,[125],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./csc_utils/ordered_set.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,209,8,30,[209],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./csc_utils/ordered_set.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,412,8,35,[412],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./csc_utils/ordered_set.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,413,8,41,[413],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./csc_utils/persist.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with cPickle module.,4,0,24,[4],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./csc_utils/persist.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,376,8,49,[376],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./csc_utils/persist.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,607,8,34,[607],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./csc_utils/test_orderedset.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with cPickle module.,4,0,24,[4],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./csc_utils/test_orderedset.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,21,4,40,[21],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./csc_utils/test_orderedset.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,27,4,40,[27],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./csc_utils/test_orderedset.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with cPickle module.,34,4,28,[34],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./csc_utils/test_orderedset.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,4,25,[59],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./csc_utils/test_orderedset.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,4,25,[60],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_hash_set.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,28,4,41,[28],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_hash_set.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,4,41,[29],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_hash_set.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,41,8,58,[41],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
