filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./rtf2xml/add_brackets.py,blacklist,B306,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/377.html,Use of insecure and deprecated function (mktemp).,66,26,43,[66],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b306-mktemp-q
./rtf2xml/add_brackets.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'mi<mk<body-open_',130,32,50,[130],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/add_brackets.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'ob<nu<open-brack',144,34,52,[144],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/add_brackets.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'ob<nu<open-brack',167,36,54,[167],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/add_brackets.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cb<nu<clos-brack',221,32,50,[221],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/add_brackets.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'ob<nu<open-brack',251,36,54,[251],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/add_brackets.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cb<nu<clos-brack',253,36,54,[253],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/check_brackets.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'ob<nu<open-brack',58,36,54,[58],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/check_brackets.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cb<nu<clos-brack',61,36,54,[61],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/combine_borders.py,blacklist,B306,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/377.html,Use of insecure and deprecated function (mktemp).,34,26,43,[34],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b306-mktemp-q
./rtf2xml/correct_unicode.py,blacklist,B306,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/377.html,Use of insecure and deprecated function (mktemp).,48,26,43,[48],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b306-mktemp-q
./rtf2xml/default_encoding.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'mi<mk<rtfhed-end',55,36,54,[55],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/default_encoding.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<ri<ansi-codpg',57,36,54,[57],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/default_encoding.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<ri<macintosh_',63,36,54,[63],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/default_encoding.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<ri<deflt-font',66,36,54,[66],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,blacklist,B306,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/377.html,Use of insecure and deprecated function (mktemp).,73,26,43,[73],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b306-mktemp-q
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'mi<mk<body-open_',125,32,50,[125],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<ml<colon_____',264,29,47,[264],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'ob<nu<open-brack',287,29,47,[287],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cb<nu<clos-brack',289,29,47,[289],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cb<nu<clos-brack',292,72,90,[292],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'tx<nu<__________',295,37,55,[295],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<in<index-see_',298,33,51,[298],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'ob<nu<open-brack',331,29,47,[331],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cb<nu<clos-brack',333,29,47,[333],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cb<nu<clos-brack',336,72,90,[336],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'tx<nu<__________',340,37,55,[340],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<an<place_____',345,33,51,[345],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<in<index-bold',358,29,47,[358],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<in<index-ital',360,29,47,[360],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<tc<toc-level_',399,29,47,[399],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<tc<toc-sup-nu',401,29,47,[401],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'ob<nu<open-brack',438,29,47,[438],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cb<nu<clos-brack',440,29,47,[440],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cb<nu<clos-brack',443,72,90,[443],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'tx<nu<__________',447,37,55,[447],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<an<book-mk-st',455,33,51,[455],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<an<book-mk-en',455,68,86,[455],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<an<book-mk-st',456,37,55,[456],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cw<an<book-mk-en',458,37,55,[458],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'ob<nu<open-brack',581,36,54,[581],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/fields_small.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cb<nu<clos-brack',583,36,54,[583],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/headings_to_sections.py,blacklist,B306,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/377.html,Use of insecure and deprecated function (mktemp).,52,26,43,[52],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b306-mktemp-q
./rtf2xml/headings_to_sections.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'mi<mk<sect-start',208,32,50,[208],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/headings_to_sections.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'mi<mk<tabl-start',211,32,50,[211],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./rtf2xml/headings_to_sections.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'mi<mk<list_start',213,34,52,[213],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
