./whisker_autonomic_analysis/aversive_pavlovian_database.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,137,15,11,"[137, 138, 139, 140, 141, 142, 143, 144, 145]",https://bandit.readthedocs.io/en/1.7.6/plugins/b608_hardcoded_sql_expressions.html
./whisker_autonomic_analysis/cardiac_calcs.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,27,0,17,[27],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./whisker_autonomic_analysis/cardiac_calcs.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,109,14,54,"[109, 110]",https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./whisker_autonomic_analysis/cardiac_calcs.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,331,8,40,[331],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/heartbeat.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,80,8,28,[80],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/heartbeat.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,81,8,30,[81],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/heartbeat.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,82,8,30,[82],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/heartbeat.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,84,8,49,[84],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/heartbeat.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,86,8,69,[86],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/heartbeat.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,88,8,73,[88],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/heartbeat.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,90,8,73,[90],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/maths.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,126,4,27,[126],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/maths.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,144,4,78,"[144, 145]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/maths.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,146,4,70,"[146, 147, 148]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/session_definition.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,39,8,36,[39],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/session_definition.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,40,8,22,[40],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/session_definition.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,41,8,30,[41],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/session_definition.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,42,8,35,[42],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/spike_file.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,12,36,[59],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/spike_file.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,12,34,[60],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/telemetry_means.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,84,12,40,[84],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/test_filters.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,4,37,"[59, 60]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./whisker_autonomic_analysis/trial_timing.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,55,12,49,[55],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
