filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./gym/benchmarks/registration.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,89,8,84,"[89, 90]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/benchmarks/registration.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,8,42,[94],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/benchmarks/tests/test_benchmark.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,45,8,158,[45],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/benchmarks/tests/test_benchmark.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,46,8,97,[46],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/algorithmic/algorithmic_env.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,165,8,49,[165],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/algorithmic/algorithmic_env.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,171,8,44,[171],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/atari/atari_env.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,30,8,43,[30],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/atari/atari_env.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,42,8,143,[42],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/atari/atari_env.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,143,12,45,[143],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/go.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,56,8,80,[56],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/go.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,87,12,187,[87],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/go.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,135,8,107,[135],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/go.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,152,8,46,[152],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/go.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,155,8,53,[155],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/go.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,191,8,52,[191],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/go.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,208,8,52,[208],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/go.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,237,12,56,[237],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/go.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,250,8,43,[250],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/go.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,259,8,52,[259],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/hex.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,40,8,107,[40],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/hex.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,54,8,46,[54],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/hex.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,57,8,53,[57],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/board_game/hex.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,98,8,48,[98],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./gym/envs/box2d/bipedal_walker.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,409,8,29,[409],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
