./setup.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,17,4,30,[17],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./test/test_pygalmesh.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,45,4,48,[45],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pygalmesh.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,46,4,48,[46],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pygalmesh.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,47,4,48,[47],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pygalmesh.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,4,48,[48],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pygalmesh.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,49,4,48,[49],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pygalmesh.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,50,4,48,[50],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pygalmesh.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,53,4,47,[53],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pygalmesh.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,88,4,68,[88],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pygalmesh.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,89,4,68,[89],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pygalmesh.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,90,4,51,[90],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
