filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./ci/download_appveyor.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,33,15,61,[33],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./ci/download_appveyor.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,47,19,65,[47],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./ci/download_appveyor.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,77,15,62,[77],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./coverage/backward.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with cPickle module.,43,4,28,[43],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./coverage/backward.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,45,4,17,[45],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./coverage/cmdline.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,538,8,39,[538],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./coverage/collector.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,321,8,31,[321],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./coverage/collector.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,326,8,9,"[326, 327, 328]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./coverage/data.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,550,8,9,"[550, 551, 552]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./coverage/data.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,557,16,98,[557],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./coverage/data.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,558,16,17,"[558, 559, 560]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
