filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./aiohttp/_ws_impl.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,222,4,44,[222],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/_ws_impl.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,223,4,31,[223],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/_ws_impl.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,311,61,76,[311],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./aiohttp/_ws_impl.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",457,12,47,[457],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./aiohttp/client.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",379,16,46,[379],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./aiohttp/client.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",603,4,12,"[603, 604]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./aiohttp/client_reqrep.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,73,8,40,[73],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/client_reqrep.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,74,8,58,[74],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/client_reqrep.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,253,12,61,"[253, 254]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/client_reqrep.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,520,8,35,[520],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/connector.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",82,12,20,"[82, 83]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./aiohttp/connector.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,697,20,31,[697],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/cookiejar.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,3,0,13,[3],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./aiohttp/cookiejar.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",49,28,42,[49],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./aiohttp/multipart.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,280,12,69,"[280, 281]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/multipart.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,293,8,54,"[293, 294]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/multipart.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,308,8,74,"[308, 309]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
