./smallinvoice/tests/__init__.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'aaac7f912ad6eb47ac13ec9b32a15d09',2,17,51,[2],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./smallinvoice/tests/catalog_entries.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,1,21,[8],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/catalog_entries.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,13,1,50,[13],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/catalog_entries.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20,1,37,[20],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/catalog_entries.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,1,35,[29],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/clients.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,1,21,[8],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/clients.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,13,1,45,[13],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/clients.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,22,1,45,[22],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/clients.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,33,1,40,[33],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/costunits.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,1,21,[8],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/costunits.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,13,1,46,[13],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/costunits.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20,1,37,[20],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/costunits.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,1,46,[29],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/offers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,9,1,23,[9],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/offers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,1,40,[14],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/offers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,19,1,18,[19],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/offers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,1,22,[24],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/offers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,34,1,45,[34],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/offers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,46,1,47,[46],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/offers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,54,1,12,[54],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/offers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,1,53,[60],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/projects.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,1,21,[8],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/projects.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,1,35,[14],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/projects.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,21,1,40,[21],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/projects.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,30,1,41,[30],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/receipts.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,9,1,23,[9],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/receipts.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,1,40,[14],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/receipts.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,19,1,18,[19],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/receipts.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,1,22,[24],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/receipts.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,34,1,45,[34],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/receipts.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,46,1,47,[46],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/receipts.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,54,1,12,[54],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/receipts.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,1,56,[60],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/times.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,1,21,[8],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./smallinvoice/tests/times.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,13,1,34,[13],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
