filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./bootstrap.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,78,0,65,[78],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./bootstrap.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,158,0,17,[158],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./bootstrap.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,159,3,73,[159],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./ftw/upgrade/tests/base.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,257,12,38,[257],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./ftw/upgrade/tests/base.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,258,12,42,[258],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./ftw/upgrade/tests/test_meta_import_profile.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,38,16,77,[38],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./ftw/upgrade/tests/test_transactionnote.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,39,8,32,"[39, 40, 41]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./ftw/upgrade/tests/test_upgrade_step.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,420,16,57,"[420, 421]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./ftw/upgrade/tests/test_upgrade_step.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,423,16,69,"[423, 424]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./ftw/upgrade/workflow.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,8,76,[25],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./ftw/upgrade/workflow.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,115,8,71,"[115, 116]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
