filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./doc/motor_extensions.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,151,12,44,[151],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./motor/core.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,602,8,34,"[602, 603, 604, 605, 606, 607, 608, 609, 610, 611]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./motor/core.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,615,8,34,"[615, 616, 617, 618, 619, 620, 621, 622, 623, 624]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./motor/metaprogramming.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,220,8,71,[220],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./motor/metaprogramming.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,327,4,51,[327],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./motor/motor_gridfs.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,187,8,34,"[187, 188, 189, 190, 191, 192, 193, 194, 195, 196]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./motor/motor_gridfs.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,200,8,34,"[200, 201, 202, 203, 204, 205, 206, 207, 208, 209]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./motor/motor_gridfs.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,373,8,34,"[373, 374, 375, 376, 377, 378, 379]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./test/assert_logs_backport.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,40,8,37,[40],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_aiohttp_gridfs.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",65,28,53,[65],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./test/asyncio_tests/test_asyncio_client.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,63,25,47,[63],https://bandit.readthedocs.io/en/1.7.6/plugins/b108_hardcoded_tmp_directory.html
./test/asyncio_tests/test_asyncio_client.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,249,8,65,[249],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_ipv6.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,31,8,44,"[31, 32, 33]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_son_manipulator.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,8,39,[29],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,75,16,28,[75],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,157,16,46,[157],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_environment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,130,8,35,[130],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/tornado_tests/__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,54,4,61,[54],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/tornado_tests/test_motor_client.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,62,25,47,[62],https://bandit.readthedocs.io/en/1.7.6/plugins/b108_hardcoded_tmp_directory.html
./test/tornado_tests/test_motor_ipv6.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,35,8,27,"[35, 36, 37]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/tornado_tests/test_motor_son_manipulator.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,35,8,39,[35],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
