filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./setup.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,32,8,22,[32],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./src/pyudev/_compat.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,32,0,54,[32],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./src/pyudev/_compat.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,40,11,38,[40],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./src/pyudev/core.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,33,4,39,[33],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./tests/_device_tests/_attributes_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,74,12,64,[74],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tests/_device_tests/_attributes_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,75,12,58,[75],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tests/_device_tests/_attributes_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,86,8,55,[86],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tests/_device_tests/_attributes_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,116,12,69,[116],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tests/_device_tests/_attributes_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,117,12,59,[117],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tests/_device_tests/_attributes_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,133,16,60,[133],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tests/_device_tests/_attributes_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,144,16,52,[144],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
