filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./doc/motor_extensions.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,150,12,44,[150],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./motor/core.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,779,8,34,"[779, 780, 781, 782, 783, 784, 785, 786, 787, 788]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./motor/core.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,1338,8,34,"[1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345, 1346, 1347, 1348, 1349, 1350]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./motor/metaprogramming.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,237,8,71,[237],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./motor/metaprogramming.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,344,4,51,[344],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./motor/motor_gridfs.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,188,8,34,"[188, 189, 190, 191, 192, 193, 194, 195, 196, 197]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./motor/motor_gridfs.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,361,8,34,"[361, 362, 363, 364, 365, 366, 367]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./test/assert_logs_backport.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,40,8,37,[40],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_aiohttp_gridfs.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",64,28,53,[64],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./test/asyncio_tests/test_asyncio_client.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,64,25,47,[64],https://bandit.readthedocs.io/en/1.7.6/plugins/b108_hardcoded_tmp_directory.html
./test/asyncio_tests/test_asyncio_client.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,244,8,65,[244],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_ipv6.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,31,8,44,"[31, 32, 33]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_son_manipulator.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,8,39,[29],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,75,16,28,[75],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,157,16,46,[157],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_environment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,134,8,35,[134],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/tornado_tests/__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,4,61,[32],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
