filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./ah_bootstrap.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,41,0,23,[41],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./ah_bootstrap.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",116,0,8,"[116, 117, 118]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./ah_bootstrap.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,753,12,57,[753],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./astropy_helpers/ah_bootstrap.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,41,0,23,[41],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./astropy_helpers/ah_bootstrap.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",116,0,8,"[116, 117, 118]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./astropy_helpers/ah_bootstrap.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,753,12,57,[753],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./astropy_helpers/astropy_helpers/__init__.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",33,0,8,"[33, 34, 35]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./astropy_helpers/astropy_helpers/commands/_dummy.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,73,4,9,"[73, 74, 75, 76]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./astropy_helpers/astropy_helpers/commands/_dummy.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,78,4,9,"[78, 79, 80, 81]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./astropy_helpers/astropy_helpers/commands/_test_compat.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,12,0,17,[12],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
