filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./benchpress/benchmarks/convolve/python_numpy/convolve.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,25,31,46,[25],https://bandit.readthedocs.io/en/1.7.6/plugins/b108_hardcoded_tmp_directory.html
./benchpress/benchmarks/convolve_2d/python_numpy/convolve_2d.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,25,34,49,[25],https://bandit.readthedocs.io/en/1.7.6/plugins/b108_hardcoded_tmp_directory.html
./benchpress/benchmarks/lattice_boltzmann_D2Q9/python_numpy/lattice_boltzmann_D2Q9.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,4,22,[24],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./benchpress/benchmarks/lattice_boltzmann_D2Q9/python_numpy/lattice_boltzmann_D2Q9.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,4,21,[25],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./benchpress/benchmarks/magnetic_field_extrapolation/python_numba/magnetic_field_extrapolation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,9,4,30,[9],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./benchpress/benchmarks/magnetic_field_extrapolation/python_numba/magnetic_field_extrapolation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,10,4,37,[10],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./benchpress/benchmarks/magnetic_field_extrapolation/python_numpy/magnetic_field_extrapolation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,4,30,[8],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./benchpress/benchmarks/magnetic_field_extrapolation/python_numpy/magnetic_field_extrapolation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,9,4,37,[9],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./benchpress/benchmarks/shallow_water/python_numpy/shallow_water.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,28,4,23,[28],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./benchpress/benchmarks/shallow_water/python_numpy/shallow_water.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,4,22,[29],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./benchpress/benchmarks/xraysim/python_numpy/material.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with load module.,10,4,34,[10],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./benchpress/benchmarks/xraysim/python_numpy/material.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with load module.,12,4,33,[12],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./benchpress/benchmarks/xraysim/python_numpy/material.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",134,23,31,[134],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./benchpress/benchpress.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,13,8,32,[13],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./benchpress/benchpress.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,8,27,[14],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./benchpress/benchpress.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,15,8,29,[15],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./benchpress/run.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,7,0,34,[7],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./benchpress/run.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,94,20,56,[94],https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./benchpress/run.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,94,20,56,[94],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./benchpress/suites/nas_parallel_benchmark.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,33,0,17,[33],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./benchpress/suites/nas_parallel_benchmark.py,tarfile_unsafe_members,B202,HIGH,HIGH,https://cwe.mitre.org/data/definitions/22.html,tarfile.extractall used without any validation. Please check and discard dangerous members.,54,4,29,[54],https://bandit.readthedocs.io/en/1.7.6/plugins/b202_tarfile_unsafe_members.html
./benchpress/suites/nas_parallel_benchmark.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"subprocess call with shell=True identified, security issue.",66,8,93,[66],https://bandit.readthedocs.io/en/1.7.6/plugins/b602_subprocess_popen_with_shell_equals_true.html
./benchpress/util.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,4,0,13,[4],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./benchpress/util.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,225,26,52,[225],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
