filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./docs/tutorials/example_code/do_images.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",37,0,8,"[37, 38]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./docs/tutorials/example_code/do_pictures.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",39,0,8,"[39, 40]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./docs/tutorials/example_code/do_plots.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",19,0,5,"[19, 20]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./docs/tutorials/example_code/do_preamble.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,8,0,28,[8],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./docs/tutorials/example_code/rcs.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,3,0,32,[3],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./docs/tutorials/example_code/rcs.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",12,8,42,[12],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./nose/ahf_halos_test.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,2,0,17,[2],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./nose/ahf_halos_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,7,4,23,[7],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/ahf_halos_test.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,10,4,78,[10],https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./nose/ahf_halos_test.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,10,4,78,[10],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./nose/ahf_halos_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,8,27,[14],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/ahf_halos_test.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,16,8,77,[16],https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./nose/ahf_halos_test.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,16,8,77,[16],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./nose/ahf_halos_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,21,4,42,[21],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/ahf_halos_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,22,4,40,[22],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,7,4,17,[7],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,9,4,32,[9],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",10,8,37,[10],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,4,20,[11],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,12,4,32,[12],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,16,4,31,[16],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,17,4,28,[17],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,18,4,37,[18],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,4,24,[26],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,27,4,29,[27],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,28,4,28,[28],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,4,28,[29],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,30,4,29,[30],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,31,4,29,[31],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,4,28,[32],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,33,4,28,[33],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,4,38,[37],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,4,60,[48],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,50,4,57,[50],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,52,4,53,[52],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,55,8,42,[55],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,56,8,39,[56],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,57,8,40,[57],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,74,8,20,[74],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,80,4,29,[80],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,86,4,35,[86],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,87,4,38,[87],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./nose/array_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,90,4,31,[90],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
