./setup.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,54,8,33,[54],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./wltp/cmdline.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,338,12,54,[338],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,358,8,66,[358],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,392,4,85,[392],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,400,4,88,[400],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,403,4,108,"[403, 404]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,407,4,61,[407],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,421,4,67,[421],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,427,4,81,[427],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,431,4,121,[431],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,512,4,79,[512],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,520,8,57,[520],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,526,4,53,[526],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,556,4,67,"[556, 557]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,567,4,85,[567],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,568,4,95,[568],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,572,4,95,[572],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,601,4,83,[601],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,609,8,154,[609],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,615,4,75,[615],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,621,4,90,"[621, 622]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,883,4,84,"[883, 884]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,890,4,52,[890],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,891,4,81,"[891, 892]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,893,4,47,[893],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/experiment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,894,4,88,[894],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/pandel.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,711,12,90,[711],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/pandel.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,724,8,72,[724],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/pandel.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,900,12,76,[900],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/test/experiment_WholeVehicleTests.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,14,0,13,[14],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./wltp/test/experiment_WholeVehicleTests.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",44,32,52,[44],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./wltp/test/samples_db_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,253,4,41,[253],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/test/samples_db_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,445,12,20,[445],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/test/wltp_db_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,110,4,23,[110],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/test/wltp_db_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,111,4,25,"[111, 112]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/test/wltp_db_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,125,4,23,[125],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/test/wltp_db_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,126,4,46,[126],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/test/wltp_db_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,188,4,23,[188],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./wltp/test/wltp_db_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,817,4,113,"[817, 818]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
