filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./doc/motor_extensions.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,107,12,44,[107],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./motor/core.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,758,8,34,"[758, 759, 760, 761, 762, 763, 764, 765, 766, 767]",https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./motor/metaprogramming.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,250,8,71,[250],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./motor/metaprogramming.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,403,4,51,[403],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/assert_logs_backport.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,40,8,37,[40],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_client.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,93,25,47,[93],https://bandit.readthedocs.io/en/1.7.6/plugins/b108_hardcoded_tmp_directory.html
./test/asyncio_tests/test_asyncio_client.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,296,8,65,[296],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_ipv6.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,31,8,44,"[31, 32, 33]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_son_manipulator.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,28,8,39,[28],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,75,16,28,[75],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/asyncio_tests/test_asyncio_tests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,157,16,46,[157],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_environment.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,98,8,35,[98],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/tornado_tests/__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,54,4,61,[54],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/tornado_tests/test_motor_client.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,95,25,47,[95],https://bandit.readthedocs.io/en/1.7.6/plugins/b108_hardcoded_tmp_directory.html
./test/tornado_tests/test_motor_ipv6.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,35,8,27,"[35, 36, 37]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/tornado_tests/test_motor_son_manipulator.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,33,8,39,[33],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/tornado_tests/test_motor_son_manipulator.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,98,8,40,[98],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/tornado_tests/test_motor_web.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",46,29,55,[46],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./test/version.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,4,69,[32],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
