./mdx_smartypants/spants.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '',561,27,29,[561],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,28,4,43,[28],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,53,4,43,[53],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,4,30,[59],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,4,46,[60],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,4,30,[65],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,66,4,46,[66],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,71,4,30,[71],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,72,4,46,[72],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,84,4,62,[84],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,90,4,62,[90],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,98,4,62,[98],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,104,4,62,[104],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,112,4,62,[112],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,119,4,62,[119],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,126,4,62,[126],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,141,4,46,[141],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_spants.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",6,0,8,"[6, 7]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
