filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./holoviews/__init__.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",31,0,8,"[31, 32]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./holoviews/__init__.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,42,12,22,[42],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./holoviews/core/io.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,17,0,72,[17],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./holoviews/core/io.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",266,12,24,[266],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./holoviews/core/io.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",382,23,55,[382],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./holoviews/core/options.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,35,0,13,[35],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./holoviews/core/options.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",713,14,35,[713],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./holoviews/core/options.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",733,14,41,[733],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./holoviews/core/util.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '_',184,24,27,[184],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./holoviews/interface/collector.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,101,30,80,[101],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
./holoviews/ipython/display_hooks.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",73,12,24,[73],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./holoviews/ipython/display_hooks.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,125,4,77,[125],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./holoviews/ipython/magics.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,154,29,55,[154],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
./holoviews/ipython/parser.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,92,30,61,"[92, 93]",https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
./holoviews/ipython/widgets.py,jinja2_autoescape_false,B701,HIGH,HIGH,https://cwe.mitre.org/data/definitions/94.html,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",270,22,63,[270],https://bandit.readthedocs.io/en/1.7.6/plugins/b701_jinja2_autoescape_false.html
./holoviews/operation/element.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,56,12,85,"[56, 57]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./holoviews/tests/__init__.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",7,0,8,"[7, 8]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./holoviews/tests/testcollector.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,1,0,13,[1],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./holoviews/tests/testcollector.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",97,14,34,[97],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./holoviews/tests/testcollector.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",106,14,34,[106],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./holoviews/tests/testcollector.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",135,15,35,[135],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./holoviews/tests/testimportexport.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,165,8,64,[165],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./holoviews/tests/testimportexport.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,174,8,66,[174],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./holoviews/tests/testmagics.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,45,8,77,[45],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./holoviews/tests/testmagics.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,58,8,77,[58],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./holoviews/tests/testmagics.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,71,8,77,[71],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./holoviews/tests/testmagics.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,131,8,84,[131],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
