filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./demos/odyssey/dodyssey.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",223,30,75,[223],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./demos/odyssey/odyssey.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",142,30,74,[142],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./demos/rlzope/rlzope.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",151,8,16,"[151, 152, 153, 154, 155]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./demos/tests/testdemos.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,13,4,62,[13],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./docs/genAll.py,start_process_with_a_shell,B605,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"Starting a process with a shell, possible injection detected, security issue.",31,12,26,[31],https://bandit.readthedocs.io/en/1.7.6/plugins/b605_start_process_with_a_shell.html
./docs/userguide/genuserguide.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,29,4,56,[29],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./docs/userguide/genuserguide.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,54,8,53,[54],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./docs/userguide/genuserguide.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,85,31,48,[85],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
./setup.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,77,16,33,[77],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./setup.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",79,4,12,"[79, 80]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./setup.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",90,8,16,"[90, 91]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./setup.py,start_process_with_a_shell,B605,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"Starting a process with a shell, possible injection detected, security issue.",290,8,50,[290],https://bandit.readthedocs.io/en/1.7.6/plugins/b605_start_process_with_a_shell.html
./src/reportlab/graphics/barcode/test.py,start_process_with_a_shell,B605,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",103,20,40,[103],https://bandit.readthedocs.io/en/1.7.6/plugins/b605_start_process_with_a_shell.html
./src/reportlab/graphics/barcode/test.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,103,20,40,[103],https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./src/reportlab/graphics/barcode/usps4s.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,155,12,100,[155],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./src/reportlab/graphics/barcode/usps4s.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,378,4,68,[378],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./src/reportlab/graphics/charts/axes.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",245,8,16,"[245, 246]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
