filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./kivymd/tools/hotreload/app.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",388,8,16,"[388, 389]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./kivymd/tools/hotreload/app.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,541,12,29,[541],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./kivymd/tools/hotreload/app.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,543,12,33,[543],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./kivymd/tools/hotreload/app.py,start_process_with_no_shell,B606,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/78.html,Starting a process without a shell.,547,16,45,[547],https://bandit.readthedocs.io/en/1.7.6/plugins/b606_start_process_with_no_shell.html
./kivymd/tools/hotreload/app.py,start_process_with_no_shell,B606,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/78.html,Starting a process without a shell.,549,16,59,[549],https://bandit.readthedocs.io/en/1.7.6/plugins/b606_start_process_with_no_shell.html
./kivymd/tools/patterns/MVC/Model/database_restdb.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,59,19,9,"[59, 60, 61, 62, 63, 64]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./kivymd/tools/patterns/MVC/Model/database_restdb.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,82,19,77,[82],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./kivymd/tools/patterns/MVC/Model/database_restdb.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,96,19,76,[96],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./kivymd/tools/patterns/MVC/Model/database_restdb.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,108,19,9,"[108, 109, 110, 111, 112]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./kivymd/tools/patterns/MVC/Model/database_restdb.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,125,19,9,"[125, 126, 127, 128, 129]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
