filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./networkx-3.1.data/data/share/doc/networkx-3.1/examples/algorithms/plot_subgraphs.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,156,0,37,[156],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./networkx-3.1.data/data/share/doc/networkx-3.1/examples/graph/plot_football.py,blacklist,B310,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/22.html,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,24,7,34,[24],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b310-urllib-urlopen
./networkx-3.1.data/data/share/doc/networkx-3.1/examples/graph/plot_morse_trie.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,95,4,63,[95],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./networkx-3.1.data/data/share/doc/networkx-3.1/examples/subclass/plot_antigraph.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,173,8,25,[173],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./networkx-3.1.data/data/share/doc/networkx-3.1/examples/subclass/plot_antigraph.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,179,8,25,[179],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./networkx-3.1.data/data/share/doc/networkx-3.1/examples/subclass/plot_antigraph.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,184,4,43,[184],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./networkx-3.1.data/data/share/doc/networkx-3.1/examples/subclass/plot_antigraph.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,185,4,73,[185],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./networkx-3.1.data/data/share/doc/networkx-3.1/examples/subclass/plot_antigraph.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,187,4,88,[187],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./networkx-3.1.data/data/share/doc/networkx-3.1/examples/subclass/plot_antigraph.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,188,4,83,[188],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./networkx/algorithms/approximation/tests/test_approx_clust_coeff.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,4,80,[11],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
