filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./tornado/auth.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,128,8,39,[128],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/auth.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,344,8,38,[344],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/auth.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,393,8,38,[393],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/auth.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'https://api.twitter.com/oauth/request_token',739,31,76,[739],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./tornado/auth.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'https://api.twitter.com/oauth/access_token',740,30,74,[740],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./tornado/auth.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'https://www.googleapis.com/oauth2/v4/token',888,30,74,[888],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./tornado/auth.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'https://graph.facebook.com/oauth/access_token?',999,30,78,[999],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./tornado/auth.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1082,8,50,[1082],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/autoreload.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,84,0,17,[84],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./tornado/autoreload.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,216,8,41,[216],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/autoreload.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,234,8,49,[234],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./tornado/autoreload.py,start_process_with_no_shell,B606,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/78.html,Starting a process without a shell.,237,8,57,[237],https://bandit.readthedocs.io/en/1.7.6/plugins/b606_start_process_with_no_shell.html
./tornado/autoreload.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,310,12,35,[310],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/autoreload.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,336,8,38,[336],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/curl_httpclient.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,269,12,43,[269],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/curl_httpclient.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,271,12,36,[271],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/curl_httpclient.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,368,16,61,[368],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/curl_httpclient.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,377,8,50,[377],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/curl_httpclient.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,379,8,50,[379],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/curl_httpclient.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,395,16,57,[395],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/curl_httpclient.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,496,12,52,[496],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/gen.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,517,4,81,[517],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/http1connection.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,66,12,34,[66],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/http1connection.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,229,16,73,[229],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/http1connection.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,388,12,68,[388],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/http1connection.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,402,12,69,[402],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/http1connection.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,403,12,55,[403],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/http1connection.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,404,12,52,[404],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/http1connection.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,698,12,34,[698],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/http1connection.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,803,8,47,[803],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/http1connection.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",806,8,16,"[806, 807]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./tornado/http1connection.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,814,8,74,[814],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tornado/httpclient.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,106,12,49,[106],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
