filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./AccessControl/ImplPython.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,757,12,31,[757],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./AccessControl/ImplPython.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,759,12,33,[759],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./AccessControl/SimpleObjectPolicies.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,130,8,52,[130],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./AccessControl/SimpleObjectPolicies.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,131,8,51,[131],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./AccessControl/requestmethod.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,87,8,73,[87],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./AccessControl/tests/actual_python.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,13,4,30,[13],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./AccessControl/tests/actual_python.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,4,30,[14],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./AccessControl/tests/actual_python.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,15,4,30,[15],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./AccessControl/tests/actual_python.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,21,8,42,[21],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./AccessControl/tests/actual_python.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,28,4,68,[28],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
