./spectate/spectate.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,223,8,33,[223],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
./spectate/spectate.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",336,4,12,"[336, 337]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,7,4,35,[7],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,8,4,37,[8],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,13,4,35,[13],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,4,42,[14],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,15,4,52,[15],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,16,4,60,[16],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,30,4,43,[30],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,31,4,45,[31],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,4,46,[32],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,4,26,[37],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,38,4,43,[38],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,39,4,45,[39],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,40,4,46,[40],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,47,4,43,[47],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,4,45,[48],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,49,4,46,[49],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,58,4,35,[58],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,4,49,[65],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,66,4,27,[66],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,72,4,46,[72],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,75,4,43,[75],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,76,4,34,[76],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,81,4,23,[81],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,87,4,46,[87],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,88,4,39,"[88, 89]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,123,8,38,[123],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,132,4,37,[132],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,148,12,29,"[148, 149, 150]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,159,4,37,[159],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,180,8,50,[180],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,181,8,70,[181],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./spectate/tests/test_spectate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,185,4,45,[185],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
