filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./beaker/_compat.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with cPickle module.,10,4,28,[10],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./beaker/_compat.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,12,4,17,[12],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./beaker/_compat.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,154,8,44,[154],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./beaker/crypto/pbkdf2.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,8,29,[60],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./beaker/crypto/pycrypto.py,blacklist,B413,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,The pyCrypto library and its module AES are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,17,4,33,[17],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b413-import-pycrypto
./beaker/crypto/pycrypto.py,blacklist,B413,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,The pyCrypto library and its module Counter are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,18,4,35,[18],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b413-import-pycrypto
./beaker/crypto/util.py,blacklist,B413,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,The pyCrypto library and its module HMAC are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,5,4,58,[5],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b413-import-pycrypto
./beaker/ext/database.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,4,0,13,[4],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./beaker/ext/mongodb.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,5,0,13,[5],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./beaker/ext/mongodb.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",66,15,43,[66],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
