./mdx_smartypants/spants.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '',561,27,29,[561],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,28,4,43,[28],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,53,4,43,[53],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,4,30,[59],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,4,46,[60],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,4,30,[65],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,66,4,46,[66],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,71,4,30,[71],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,72,4,46,[72],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,80,4,30,[80],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,81,4,46,[81],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,88,4,30,[88],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,89,4,46,[89],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,4,30,[94],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,95,4,46,[95],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,106,4,62,[106],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,112,4,62,[112],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,120,4,62,[120],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,126,4,62,[126],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,134,4,62,[134],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,141,4,62,[141],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,148,4,62,[148],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,163,4,46,[163],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
