filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./docs/jinjaext.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",101,8,16,"[101, 102]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./examples/bench.py,jinja2_autoescape_false,B701,HIGH,HIGH,https://cwe.mitre.org/data/definitions/94.html,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",16,17,1,"[16, 17, 18, 19, 20]",https://bandit.readthedocs.io/en/1.7.6/plugins/b701_jinja2_autoescape_false.html
./examples/bench.py,use_of_mako_templates,B702,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,"Mako templates allow HTML/JS rendering by default and are inherently open to XSS attacks. Ensure variables in all templates are properly sanitized via the 'n', 'h' or 'x' flags (depending on context). For example, to HTML escape the variable 'data' do ${ data |h }.",147,20,4,"[147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175]",https://bandit.readthedocs.io/en/1.7.6/plugins/b702_use_of_mako_templates.html
./jinja2/_compat.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,30,4,17,[30],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./jinja2/_compat.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with cPickle module.,59,4,28,[59],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./jinja2/_compat.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,63,4,66,[63],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./jinja2/_stringdefs.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,27,9,12306,[27],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
./jinja2/bccache.py,blacklist,B302,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,Deserialization with the marshal module is possibly dangerous.,43,19,34,[43],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b302-marshal
./jinja2/bccache.py,blacklist,B302,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,Deserialization with the marshal module is possibly dangerous.,44,15,38,[44],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b302-marshal
./jinja2/bccache.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",162,15,41,[162],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./jinja2/bccache.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",172,15,43,[172],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./jinja2/compiler.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,758,8,53,[758],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./jinja2/debug.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,29,4,34,[29],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./jinja2/debug.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",51,12,20,"[51, 52, 53, 54, 55]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jinja2/debug.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,84,8,54,[84],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./jinja2/debug.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",253,4,12,"[253, 254]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
