filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./pyphant/core/AstTransformers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,71,8,40,[71],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pyphant/core/FMFGen.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,168,8,63,"[168, 169]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pyphant/core/FMFGen.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,209,8,83,[209],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pyphant/core/FMFGen.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,210,8,77,[210],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pyphant/tests/TestH5FileHandler.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,52,12,24,[52],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pyphant/tests/TestH5FileHandler.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,266,12,33,[266],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
./pyphant/tests/TestKnowledgeNode.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,62,8,38,[62],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pyphant/tests/TestKnowledgeNode.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,63,8,35,[63],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pyphant/tests/TestKnowledgeNode.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,68,8,39,[68],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pyphant/tests/TestKnowledgeNode.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,70,8,43,[70],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
