filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./aocutils-0.3.0/aocutils/analyze/distance.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,50,8,60,[50],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aocutils-0.3.0/aocutils/analyze/distance.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,62,8,60,[62],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aocutils-0.3.0/aocutils/brep/edge.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,57,8,39,[57],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aocutils-0.3.0/aocutils/brep/face.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,56,8,39,[56],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aocutils-0.3.0/aocutils/brep/shell.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,8,40,[37],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aocutils-0.3.0/aocutils/brep/solid.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,46,8,40,[46],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aocutils-0.3.0/aocutils/brep/wire.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,42,8,39,[42],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aocutils-0.3.0/aocutils/fixes.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,119,39,86,[119],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
./aocutils-0.3.0/aocutils/memory.py,start_process_with_a_shell,B605,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"Starting a process with a shell, possible injection detected, security issue.",39,23,81,[39],https://bandit.readthedocs.io/en/1.7.6/plugins/b605_start_process_with_a_shell.html
./aocutils-0.3.0/aocutils/operations/interpolate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,166,4,98,[166],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aocutils-0.3.0/aocutils/operations/interpolate.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,169,8,112,[169],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aocutils-0.3.0/aocutils/operations/offset.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,84,4,77,[84],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
